booking_id,customer_id,user_id,start_time,end_time,status,hours,revenue,booking_type,channel
bk_001,cust_001,user_001,2026-03-31T18:00:00-07:00,2026-03-31T20:00:00-07:00,confirmed,2,0,member,website
bk_002,cust_002,user_002,2026-04-01T09:00:00-07:00,2026-04-01T11:30:00-07:00,confirmed,2.5,0,member,website
bk_003,cust_003,user_003,2026-04-01T19:00:00-07:00,2026-04-01T22:00:00-07:00,confirmed,3,0,member,website
bk_004,cust_guest_01,,2026-04-02T13:00:00-07:00,2026-04-02T15:00:00-07:00,confirmed,2,260,guest,website
bk_005,cust_guest_02,,2026-04-03T10:00:00-07:00,2026-04-03T12:30:00-07:00,confirmed,2.5,310,guest,instagram
bk_006,cust_006,user_006,2026-04-03T18:30:00-07:00,2026-04-03T20:30:00-07:00,confirmed,2,0,member,website
bk_007,cust_005,user_005,2026-04-04T14:00:00-07:00,2026-04-04T17:00:00-07:00,confirmed,3,0,member,email
bk_008,cust_007,user_007,2026-03-26T17:00:00-07:00,2026-03-26T19:00:00-07:00,confirmed,2,0,member,website
bk_009,cust_008,user_008,2026-03-27T11:00:00-07:00,2026-03-27T14:00:00-07:00,confirmed,3,0,member,website
bk_010,cust_guest_03,,2026-03-28T12:00:00-07:00,2026-03-28T14:00:00-07:00,confirmed,2,220,guest,google_ads
